,Unnamed: 0,Departamento,Dep_Lat,Dep_Lng,tipo_corrupcion
0,0,AMAZONAS,-4.2152778,-69.9405556,5
1,1,ANTIOQUIA,6.2913889,-75.5361111,76
2,2,ARAUCA,7.0902778,-70.7616667,6
3,3,ATLANTICO,10.9638889,-74.7963889,88
4,4,BOGOTA D.C.,4.6,-74.0833333,200
5,5,BOLIVAR,10.3997222,-75.5144444,47
6,6,BOYACA,5.5352778,-73.3677778,9
7,7,CALDAS,5.07,-75.5205556,4
8,8,CAQUETA,1.6175,-75.6175,10
9,9,CASANARE,5.3394444,-72.3941667,11
10,10,CAUCA,3.2775,-75.6213889,13
11,11,CESAR,10.4769444,-73.2505556,33
12,12,CHOCO,5.6947222,-76.6611111,18
13,13,CORDOBA,8.7575,-75.89,29
14,14,CUNDINAMARCA,4.5872222,-74.2213889,32
15,15,GUAINIA,3.8652778,-67.9238889,2
16,16,LA GUAJIRA,11.5444444,-72.9072222,27
17,17,GUAVIARE,2.5683333,-72.6416667,3
18,18,HUILA,2.9305556,-75.3302778,7
19,19,MAGDALENA,11.2472222,-74.2016667,28
20,20,META,4.1533333,-73.635,26
21,21,NARIÃ‘O,1.214670737,-77.27864742,13
22,22,NORTE DE SAN,7.8833333,-72.5052778,19
23,23,PUTUMAYO,1.1488889,-76.6477778,7
24,24,QUINDIO,4.5338889,-75.6811111,13
25,25,RISARALDA,4.8133333,-75.6961111,15
26,26,SAN ANDRES,12.5,-81.75,7
27,27,SANTANDER,7.1297222,-73.1258333,75
28,28,SUCRE,9.3047222,-75.3977778,34
29,29,TOLIMA,4.4388889,-75.2322222,25
30,30,VALLE,3.4372222,-76.5225,74
31,31,VAUPES,1.1983333,-70.1733333,2
32,32,VICHADA,6.1877778,-67.4730556,9
